Nuccore	Superkingdom	Phylum	Class	Order	Family	Subfamily	Genus	Species	Assembly	Genus_source
MZ501109.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Epseptimavirus	Escherichia phage TrudiRoth	GCA_020892445	Escherichia
OL451946.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Epseptimavirus	Salmonella phage BD13	GCA_021870685	Salmonella
OL770310.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Epseptimavirus	Epseptimavirus EPS7	GCA_021497785	Escherichia
ON526840.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Epseptimavirus	Salmonella phage GRNsp8	GCA_023617505	Salmonella
OP045498.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Epseptimavirus	Klebsiella phage 150049	GCA_025465845	Klebsiella
OQ341635.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Epseptimavirus	Salmonella phage PRF-SP13	GCA_028613125	Salmonella
OQ359888.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Epseptimavirus	Salmonella phage vB_SenS_UTK0008	GCA_028897575	Salmonella
OQ359889.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Epseptimavirus	Salmonella phage vB_SenS_UTK0009	GCA_028897585	Salmonella
OQ359890.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Epseptimavirus	Salmonella phage vB_SenS_UTK0010	GCA_028897595	Salmonella
OQ383621.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Epseptimavirus	Salmonella phage MET_P1_137_112	GCA_029685995	Salmonella
CP000917.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Epseptimavirus	Epseptimavirus EPS7	GCA_000872825	Escherichia
KM236244.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Epseptimavirus	Epseptimavirus stitch	GCA_002149405	Salmonella
MK907267.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Epseptimavirus	Escherichia phage vB_EcoS-26175I	GCA_009671305	Escherichia
MK907268.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Epseptimavirus	Escherichia phage vB_EcoS-26175II	GCA_009671325	Escherichia
MK907269.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Epseptimavirus	Escherichia phage vB_EcoS-26175III	GCA_009671345	Escherichia
MK907270.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Epseptimavirus	Escherichia phage vB_EcoS-26175IV	GCA_009671365	Escherichia
MK907271.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Epseptimavirus	Escherichia phage vB_EcoS-26175V	GCA_009671385	Escherichia
KU927497.2	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Epseptimavirus	Epseptimavirus 100268sal2	GCA_001884575	Salmonella
KY787212.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Epseptimavirus	Epseptimavirus ev129	GCA_002990025	Salmonella
LC659915.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Epseptimavirus	Escherichia phage EscoHU1	GCA_023239855	Escherichia
LR027389.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Epseptimavirus	Epseptimavirus mar003J3	GCA_900604395	Escherichia
HE956708.2	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Epseptimavirus	Epseptimavirus R201	GCA_000903755	Yersinia
MF431736.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Epseptimavirus	Epseptimavirus saus132	GCA_002955435	Bacteriophage
MF431737.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Epseptimavirus	Epseptimavirus saus132	GCA_002955445	Escherichia
MF431738.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Epseptimavirus	Epseptimavirus saus132	GCA_002955455	Bacteriophage
MF431739.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Epseptimavirus	Epseptimavirus saus132	GCA_002955465	Bacteriophage
MF431740.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Epseptimavirus	Epseptimavirus saus132	GCA_002955475	Bacteriophage
MF431741.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Epseptimavirus	Epseptimavirus saus132	GCA_002955485	Bacteriophage
MH631454.2	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Epseptimavirus	Epseptimavirus Sw2	GCA_003575665	Salmonella
MK050846.2	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Epseptimavirus	Epseptimavirus seafire	GCA_003865515	Salmonella
MK005300.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Epseptimavirus	Epseptimavirus STG2	GCA_003691795	Salmonella
MK728824.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Epseptimavirus	Salmonella phage Seabear	GCA_005574435	Salmonella
MK728825.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Epseptimavirus	Epseptimavirus sepoy	GCA_005574455	Salmonella
MK809530.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Epseptimavirus	Salmonella phage vB_SenS_SB6	GCA_006384675	Salmonella
MK867835.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Epseptimavirus	Salmonella phage vB_SenS_SB9	GCA_006864005	Salmonella
MT004791.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Epseptimavirus	Salmonella phage vB_SenS-3	GCA_013112195	Salmonella
MT074466.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Epseptimavirus	Epseptimavirus atrejo	GCA_011756735	Salmonella
MT074459.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Epseptimavirus	Epseptimavirus bastian	GCA_011756755	Salmonella
MT074455.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Epseptimavirus	Salmonella phage beppo	GCA_011756765	Salmonella
MT074464.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Epseptimavirus	Salmonella phage bobsandoy	GCA_011756795	Salmonella
MT074449.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Epseptimavirus	Epseptimavirus bombadil	GCA_011756805	Salmonella
MT074460.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Epseptimavirus	Salmonella phage bux	GCA_011895095	Salmonella
MT074454.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Epseptimavirus	Salmonella phage ende	GCA_011756945	Salmonella
MT074450.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Epseptimavirus	Epseptimavirus faergetype	GCA_011895175	Salmonella
MT074467.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Epseptimavirus	Salmonella phage falkor	GCA_011756955	Salmonella
MT074458.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Epseptimavirus	Epseptimavirus fuchur	GCA_011756965	Salmonella
MT074463.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Epseptimavirus	Epseptimavirus S147	GCA_011756975	Salmonella
MT074453.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Epseptimavirus	Salmonella phage misterkot	GCA_011757015	Salmonella
MT074465.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Epseptimavirus	Epseptimavirus oselot	GCA_011757045	Salmonella
MT074447.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Epseptimavirus	Salmonella phage phagemcphageface	GCA_011757065	Salmonella
MT074456.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Epseptimavirus	Epseptimavirus S147	GCA_011757085	Salmonella
MT074457.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Epseptimavirus	Epseptimavirus rokbiter	GCA_011757115	Salmonella
MT074468.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Epseptimavirus	Salmonella phage rutana	GCA_011757125	Salmonella
MT074461.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Epseptimavirus	Salmonella phage smaug	GCA_011757185	Salmonella
MT074452.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Epseptimavirus	Epseptimavirus S147	GCA_011757215	Salmonella
MT833283.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Epseptimavirus	Escherichia coli phage vB_EcoS_Ace	GCA_014656795	Escherichia
MW423798.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Epseptimavirus	Epseptimavirus bombadil	GCA_016811385	Salmonella
MF979564.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Mccorquodalevirinae	Hongcheonvirus	Hongcheonvirus DUPPV	GCA_002956075	Pectobacterium
KP280063.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Ermolyevavirinae	Jesfedecavirus	Jesfedecavirus phi3	GCA_001505115	Vibrio
JX195166.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Mccorquodalevirinae	Myunavirus	Myunavirus My1	GCA_000899355	Pectobacterium
MH830339.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae		Novosibvirus	Novosibvirus stubb	GCA_003668295	Proteus
MH925094.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae		Pogseptimavirus	Pogseptimavirus VspSw1	GCA_004147045	Vibrio
MT442039.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae		Pogseptimavirus	Pogseptimavirus VspSw1	GCA_013348245	Vibrio
KY363465.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae		Priunavirus	Priunavirus PR1	GCA_002617785	Providencia
MG676225.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae		Shenzhenvirus	Shenzhenvirus AhSzw1	GCA_003044105	Aeromonas
MZ634344.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae		Sugarlandvirus	Klebsiella phage PWKp9S	GCA_021800985	Klebsiella
OQ515479.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae		Sugarlandvirus	Klebsiella phage vB_KpP_HS37	GCA_029535715	Klebsiella
MN434094.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae		Sugarlandvirus	Klebsiella phage AmPh_EK80	GCA_009388145	Klebsiella
MN434096.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae		Sugarlandvirus	Klebsiella phage JIPh_Kp127	GCA_009388165	Klebsiella
MK630230.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae		Sugarlandvirus	Sugarlandvirus sugarland	GCA_004771395	Klebsiella
LR880965.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae		Sugarlandvirus	Klebsiella phage vB_KaS-Benoit	GCA_904067055	Klebsiella
LR881116.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae		Sugarlandvirus	Klebsiella phage vB_KaS-Veronica	GCA_904067365	Klebsiella
LR881113.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae		Sugarlandvirus	Klebsiella phage vB_KppS-Totoro	GCA_904067325	Klebsiella
LR881115.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae		Sugarlandvirus	Klebsiella phage vB_KppS-Ponyo	GCA_904067305	Klebsiella
LR881114.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae		Sugarlandvirus	Klebsiella phage vB_KppS-Jiji	GCA_904067345	Klebsiella
LR881112.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae		Sugarlandvirus	Klebsiella phage vB_KppS-Storm	GCA_904067335	Klebsiella
LR881109.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae		Sugarlandvirus	Klebsiella phage vB_KppS-Anoxic	GCA_904067295	Klebsiella
MG459987.2	Viruses	Uroviricota	Caudoviricetes		Demerecviridae		Sugarlandvirus	Sugarlandvirus sugarland	GCA_002957275	Klebsiella
MK521907.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae		Sugarlandvirus	Klebsiella phage vB_KpnS_FZ41	GCA_005145165	Klebsiella
MN101228.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae		Sugarlandvirus	Klebsiella phage KPN4	GCA_008220805	Klebsiella
MT380195.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae		Sugarlandvirus	Klebsiella phage vB_Kpn_B01	GCA_013133585	Klebsiella
MZ398246.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Tequintavirus	Escherichia phage IME178	GCA_019466415	Escherichia
MZ501058.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Tequintavirus	Escherichia phage DaisyDussoix	GCA_020892455	Escherichia
MZ501075.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Tequintavirus	Escherichia phage IrisVonRoten	GCA_020892465	Escherichia
MZ501074.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Tequintavirus	Escherichia phage HildyBeyeler	GCA_020892475	Escherichia
MZ501103.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Tequintavirus	Escherichia phage SelmaRatti	GCA_020892485	Escherichia
OK143207.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Tequintavirus	Escherichia phage Lindwurm	GCA_020523065	Escherichia
OK272480.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Tequintavirus	Escherichia phage JLBYU40	GCA_021356155	Escherichia
OK272477.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Tequintavirus	Escherichia phage JLBYU43	GCA_021356135	Escherichia
OL800604.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Tequintavirus	Salmonella phage vB_STy-RN29	GCA_021864135	Salmonella
OM386657.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Tequintavirus	Escherichia phage vB_EcoS_ESCO30	GCA_023324265	Escherichia
OM386660.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Tequintavirus	Escherichia phage vB_EcoS_ESCO40	GCA_023324275	Escherichia
OQ031075.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Tequintavirus	Klebsiella phage KPP2018	GCA_027618075	Klebsiella
OQ383620.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Tequintavirus	Salmonella phage MET_P1_100_107	GCA_029685965	Salmonella
OQ383622.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Tequintavirus	Salmonella phage MET_P1_179_112	GCA_029686005	Salmonella
AP019559.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Tequintavirus	Tequintavirus SP15	GCA_004768945	Escherichia
MN445182.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Tequintavirus	Salmonella phage vB_SalS_SA001	GCA_014131275	Salmonella
AY543070.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Tequintavirus	Tequintavirus T5	GCA_000858785	Escherichia
AY587007.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Tequintavirus	Tequintavirus T5	GCA_002921405	Escherichia
AY692264.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Tequintavirus	Tequintavirus T5	GCA_002921415	Escherichia
KM979354.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Tequintavirus	Tequintavirus DT57C	GCA_001042135	Escherichia
KM979355.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Tequintavirus	Tequintavirus DT5712	GCA_002605085	Escherichia
KP143763.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Tequintavirus	Tequintavirus shivani	GCA_001500355	Salmonella
KR233164.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Tequintavirus	Tequintavirus NR01	GCA_001745155	Salmonella
KR422353.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Tequintavirus	Tequintavirus APCEc03	GCA_002606685	Escherichia
KY677846.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Tequintavirus	Tequintavirus LLS	GCA_002620345	Escherichia
KY963424.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Tequintavirus	Tequintavirus SSP1	GCA_002955055	Shigella
LR027384.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Tequintavirus	Tequintavirus mar004NP2	GCA_900604445	Escherichia
LN887948.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Tequintavirus	Tequintavirus slur09	GCA_001504595	Escherichia
HQ406778.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Tequintavirus	Tequintavirus SPC35	GCA_000891755	Salmonella
MF402939.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Tequintavirus	Tequintavirus OSYSP	GCA_002627205	Escherichia
MF431734.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Tequintavirus	Tequintavirus chee24	GCA_002955415	Bacteriophage
MF431735.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Tequintavirus	Tequintavirus chee24	GCA_002955425	Bacteriophage
MF431730.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Tequintavirus	Tequintavirus chee24	GCA_002955495	Escherichia
MF431731.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Tequintavirus	Tequintavirus chee24	GCA_002955505	Bacteriophage
MF431732.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Tequintavirus	Tequintavirus chee24	GCA_002955515	Bacteriophage
MF431733.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Tequintavirus	Tequintavirus chee24	GCA_002955525	Bacteriophage
HQ665011.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Tequintavirus	Tequintavirus AKFV33	GCA_000894655	Escherichia
MH203051.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Tequintavirus	Tequintavirus gostya9	GCA_003183765	Escherichia
MK373792.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Tequintavirus	Escherichia phage vB_EcoS_VAH1	GCA_005892325	Escherichia
MK373796.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Tequintavirus	Tequintavirus HdH2	GCA_005892405	Escherichia
MK373797.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Tequintavirus	Escherichia phage vB_EcoS_HASG4	GCA_005892425	Escherichia
MK373799.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Tequintavirus	Escherichia phage vB_EcoS_EASG3	GCA_005892445	Escherichia
MN022787.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Tequintavirus	Tequintavirus VSe12	GCA_008000675	Salmonella
MN026741.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Tequintavirus	Tequintavirus Th1	GCA_007998475	Salmonella
MN316588.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Tequintavirus	Tequintavirus VEc33	GCA_009296085	Escherichia
MT080103.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Tequintavirus	Escherichia phage ECOP18	GCA_022516415	Escherichia
MT074448.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Tequintavirus	Tequintavirus oldekolle	GCA_011757035	Salmonella
MT233524.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Tequintavirus	Salmonella phage vB_Sen_I1	GCA_014824135	Salmonella
MT311645.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Tequintavirus	Salmonella phage vB_Sen-E22	GCA_014918305	Salmonella
MT577844.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Tequintavirus	Salmonella phage vB_StyS-LmqsSP1	GCA_020473325	Salmonella
MT843274.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Tequintavirus	Escherichia phage BB1	GCA_023539175	Escherichia
MW006478.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Tequintavirus	Salmonella phage GEC_vB_N3	GCA_015709885	Salmonella
MW006479.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Tequintavirus	Salmonella phage GEC_vB_N5	GCA_015709895	Salmonella
MW006481.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Markadamsvirinae	Tequintavirus	Salmonella phage GEC_vB_N7	GCA_015709915	Salmonella
OQ106917.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Ermolyevavirinae	Thalassavirus	Vibrio phage IW18	GCA_027618245	Vibrio
OQ079156.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Ermolyevavirinae	Thalassavirus	Vibrio phage Rocket24	GCA_028420255	Vibrio
OQ095916.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Ermolyevavirinae	Thalassavirus	Vibrio phage Chloris	GCA_027946655	Vibrio
OQ095917.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Ermolyevavirinae	Thalassavirus	Vibrio phage Javier	GCA_027946665	Vibrio
OQ095918.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Ermolyevavirinae	Thalassavirus	Vibrio phage Kronos	GCA_027946675	Vibrio
OQ095919.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Ermolyevavirinae	Thalassavirus	Vibrio phage Noelle	GCA_027946685	Vibrio
OQ095915.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Ermolyevavirinae	Thalassavirus	Vibrio phage Wyman	GCA_027946695	Vibrio
MK907780.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Ermolyevavirinae	Thalassavirus	Thalassavirus pontus	GCA_006529715	Vibrio
MG649967.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Ermolyevavirinae	Thalassavirus	Thalassavirus thalassa	GCA_002957655	Vibrio
MK796244.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Ermolyevavirinae	Thalassavirus	Thalassavirus achelous	GCA_005566775	Vibrio
MK895508.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Ermolyevavirinae	Thalassavirus	Thalassavirus brizo	GCA_006529695	Vibrio
MN958086.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Ermolyevavirinae	Thalassavirus	Thalassavirus bennett	GCA_013086045	Vibrio
MN966731.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Ermolyevavirinae	Thalassavirus	Vibrio phage Chazly21	GCA_011067655	Vibrio
MN966732.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Ermolyevavirinae	Thalassavirus	Thalassavirus chester	GCA_011756425	Vibrio
MN966730.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Ermolyevavirinae	Thalassavirus	Vibrio phage Cilsick	GCA_011067665	Vibrio
MT460514.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Ermolyevavirinae	Thalassavirus	Thalassavirus AG74	GCA_013348085	Vibrio
MT460517.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Ermolyevavirinae	Thalassavirus	Thalassavirus athena	GCA_013348095	Vibrio
MT460515.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Ermolyevavirinae	Thalassavirus	Thalassavirus cody	GCA_013348105	Vibrio
MT460518.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Ermolyevavirinae	Thalassavirus	Vibrio phage Direpillow8	GCA_013348115	Vibrio
MT460516.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Ermolyevavirinae	Thalassavirus	Thalassavirus quinn	GCA_013348125	Vibrio
MT459144.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Ermolyevavirinae	Thalassavirus	Vibrio phage Dax	GCA_013268065	Vibrio
MT448616.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Ermolyevavirinae	Thalassavirus	Vibrio phage BBMuffin	GCA_013348215	Vibrio
MT448617.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Ermolyevavirinae	Thalassavirus	Thalassavirus river4	GCA_013348235	Vibrio
MW344056.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Ermolyevavirinae	Thalassavirus	Vibrio phage ABurr	GCA_016759265	Vibrio
MW344055.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Ermolyevavirinae	Thalassavirus	Vibrio phage GRLPWR	GCA_016759275	Vibrio
MW344054.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Ermolyevavirinae	Thalassavirus	Thalassavirus gary	GCA_016811425	Vibrio
JQ340389.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Ermolyevavirinae	Vipunavirus	Vipunavirus pVp1	GCA_000900795	Vibrio
MN954399.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Ermolyevavirinae	Vipunavirus	Vibrio phage VPT02	GCA_016836245	Vibrio
MW398869.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae	Ermolyevavirinae	Vipunavirus	Vibrio phage VPG01	GCA_024499575	Vibrio
MW824415.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae			Vibrio phage 234P1	GCA_020476955	Vibrio
MW824416.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae			Vibrio phage 234P7B	GCA_020476965	Vibrio
MW824419.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae			Vibrio phage 294E48.1	GCA_020477045	Vibrio
MW824422.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae			Vibrio phage 70E35.2	GCA_020483695	Vibrio
MW824423.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae			Vibrio phage 70E35.5a	GCA_020483745	Vibrio
MW824424.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae			Vibrio phage 70E35.6	GCA_020483755	Vibrio
MW824425.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae			Vibrio phage 70E37.1	GCA_020483765	Vibrio
MW824426.1	Viruses	Uroviricota	Caudoviricetes		Demerecviridae			Vibrio phage 70E37.6	GCA_020483795	Vibrio
